,city,cloudiness,country,humidity,latitude,longitude,max_temp,windspeed
98,Daru,92,SL,96,7.99,-10.85,72.31,2.93
99,Carnarvon,88,ZA,96,-30.97,22.13,57.01,8.52
100,Cururupu,48,BR,98,-1.82,-44.87,74.83,1.7
101,Kununurra,0,AU,25,-15.77,128.74,96.8,13.87
102,Pangnirtung,48,CA,67,66.15,-65.72,-0.68,5.61
103,Samarai,12,PG,99,-10.62,150.67,84.55,11.65
104,Santa Luzia,75,BR,88,-19.77,-43.85,64.4,4.7
105,Nome,1,US,76,30.04,-94.42,48.2,3.71
106,Jumla,48,NP,71,29.28,82.18,47.47,1.36
107,Luau,24,CD,94,-10.7,22.23,64.84,3.27
108,Lichinga,32,MZ,93,-13.3,35.25,65.92,5.61
109,Nanakuli,40,US,83,21.39,-158.15,77.0,4.7
110,Akure,92,NG,95,7.25,5.19,76.0,5.61
111,Egvekinot,80,RU,94,66.32,-179.17,31.72,10.2
112,Sergeyevka,88,KZ,80,53.88,67.42,40.0,15.68
113,Esperance,20,TT,94,10.24,-61.45,75.2,6.73
114,Udachnyy,0,RU,56,66.42,112.4,33.79,6.51
115,Willowmore,8,ZA,79,-33.3,23.49,48.37,2.15
116,Leningradskiy,88,RU,97,69.38,178.42,28.03,29.89
117,La Ronge,90,CA,94,55.1,-105.3,32.0,9.17
118,Chokurdakh,44,RU,91,70.62,147.9,14.08,9.75
119,San Patricio,0,PY,94,-26.98,-56.83,67.0,2.71
120,Jamestown,76,AU,73,-33.21,138.6,65.02,9.98
121,Provideniya,88,RU,91,64.42,-173.23,32.17,22.28
122,Alihe,24,CN,43,50.57,123.73,57.55,5.61
123,Padang,36,ID,100,-0.92,100.36,81.4,7.52
124,Hualmay,8,PE,92,-11.1,-77.61,62.41,3.6
125,Constitucion,0,MX,51,23.99,-104.67,47.02,3.6
126,Xining,0,CN,25,36.62,101.77,58.54,2.82
127,Deputatskiy,0,RU,89,69.3,139.9,24.97,3.94
128,Port Elizabeth,90,US,93,39.31,-74.98,57.2,13.87
129,Doha,75,QA,54,25.29,51.53,80.6,10.29
130,Salinopolis,100,BR,100,-0.61,-47.36,80.41,8.41
131,Kodiak,90,US,80,39.95,-94.76,30.2,13.87
